,Gamma_3months [cps],Gamma_5yr [cps],SF_3months [cps],SF_5yr [cps]
0,28511200.0,1166650.0,79167.5,15904.0
1,30918000.0,1101580.0,78920.2,15808.2
2,31314700.0,1192210.0,78491.6,16078.5
3,31156000.0,1359540.0,78104.2,15791.1
4,32478400.0,1203830.0,77304.7,15994.7
5,32795800.0,1094600.0,77502.5,16225.7
6,31552700.0,1241020.0,77288.2,15558.4
7,30627000.0,1215450.0,77337.7,15967.3
8,28273200.0,1159680.0,77444.8,15874.9
9,31050200.0,1208480.0,78260.8,16078.5
10,30441900.0,1145730.0,77560.2,15924.5
11,30547700.0,1278200.0,76999.7,15958.7
12,30759300.0,1106220.0,77354.1,15871.5
13,33271900.0,1148060.0,79266.4,15770.5
14,29648500.0,1120170.0,77024.5,16181.2
15,31870100.0,1136440.0,77271.7,15729.5
16,31023800.0,1187560.0,76900.8,15720.9
17,31737900.0,1173620.0,77453.1,16203.4
