,NPS,End_event_no,Particle_type,Start_x,Start_y,Start_z,End_x,End_y,End_z,Start_E,End_E,Start_T,End_T,Detector_no,Delta_ray_flag
0,7752.0,1.0,3.0,10.942,7.1017,-6.2006,12.771,8.1897,-5.837,0.4081,0.40529,0.031645,0.04031,3.0,0.0
1,18364.0,1.0,3.0,12.191,6.4654,16.5,13.222,6.2808,15.646,0.42325,0.42224,0.036029,0.041413,3.0,0.0
2,20544.0,1.0,3.0,-11.732,5.8737,15.756,-13.163,7.4794,16.5,0.31329,0.31067,0.039158,0.048831,15.0,0.0
3,20832.0,1.0,3.0,-13.239,-3.5411,8.943,-12.634,-2.6623,9.5516,0.35596,0.35471,0.042703,0.047774,13.0,0.0
4,20832.0,3.0,3.0,-12.633,-2.6562,9.5629,-13.573,-3.6792,10.698,0.28741,0.28488,0.047843,0.055632,13.0,0.0
5,20832.0,5.0,3.0,-13.574,-3.6795,10.705,-13.33,-1.3064,12.321,0.2299,0.22609,0.055668,0.068942,13.0,0.0
6,33157.0,1.0,3.0,4.1717,12.159,-9.1526,5.7427,12.374,-10.153,0.57803,0.57644,0.029885,0.036966,1.0,0.0
7,33157.0,3.0,3.0,5.7527,12.385,-10.172,5.2964,14.428,-11.501,0.47851,0.47617,0.037074,0.046732,1.0,0.0
8,33157.0,5.0,3.0,5.2832,14.433,-11.513,4.268,14.392,-12.073,0.40928,0.40825,0.046814,0.051466,1.0,0.0
9,33612.0,1.0,3.0,12.928,1.614,1.251,13.466,1.2499,0.93461,0.32023,0.31961,0.034253,0.037306,4.0,0.0
10,35282.0,1.0,3.0,11.003,6.6589,-15.293,13.481,7.0295,-14.966,0.42224,0.41902,0.029848,0.039921,3.0,0.0
11,35282.0,3.0,3.0,11.489,6.7316,-15.229,11.489,6.7296,-15.226,0.0013339,0.00098059,0.031825,0.031969,3.0,1.0
12,35364.0,1.0,3.0,-15.14,2.6492,-5.9123,-13.431,3.6343,-5.0563,0.21587,0.21385,0.059174,0.069258,14.0,0.0
13,36317.0,1.0,3.0,0.75049,-13.075,12.701,-0.38918,-15.309,12.969,0.58892,0.58723,0.059751,0.06925,9.0,0.0
14,37860.0,1.0,3.0,6.064,13.517,-14.716,3.8492,14.065,-16.087,0.54872,0.54677,0.036143,0.046279,1.0,0.0
15,37860.0,3.0,3.0,5.5439,13.646,-15.038,5.8155,13.135,-15.741,0.01576,0.00098694,0.038523,0.056006,1.0,1.0
16,37860.0,5.0,3.0,3.6976,12.66,-14.333,4.0402,14.25,-14.805,1.9271,1.926,0.029694,0.035471,1.0,0.0
17,40753.0,1.0,3.0,-1.1639,-13.592,3.3156,0.87195,-15.023,2.1832,0.55989,0.55752,0.048908,0.059286,9.0,0.0
18,40753.0,3.0,3.0,-3.7072,-12.642,3.7873,-5.019,-11.995,3.7602,0.086361,0.083455,0.042955,0.052397,10.0,0.0
19,40753.0,5.0,3.0,-5.0204,-11.995,3.7594,-3.6785,-12.698,2.5009,0.05104,0.0442,0.052417,0.068538,10.0,0.0
