,NPS,End_event_no,Particle_type,Start_x,Start_y,Start_z,End_x,End_y,End_z,Start_E,End_E,Start_T,End_T,Detector_no,Delta_ray_flag
0,4265.0,1.0,3.0,-11.017,-7.4824,-7.072,-12.0,-5.7976,-7.1365,0.51021,0.50899,0.039852,0.047373,12.0,0.0
1,38662.0,1.0,3.0,-12.983,-6.0415,-8.7652,-11.675,-8.2014,-7.3805,0.063963,0.054151,0.037311,0.06124,12.0,0.0
2,38662.0,3.0,3.0,-12.016,-6.6135,-8.3347,-12.017,-6.6136,-8.3272,0.0014031,0.00099006,0.046462,0.046817,12.0,1.0
3,65860.0,1.0,3.0,11.265,7.8974,13.419,11.795,8.2501,13.211,0.25297,0.25203,0.033186,0.036192,3.0,0.0
4,65860.0,3.0,3.0,11.797,8.2507,13.21,12.469,8.2935,12.913,0.24523,0.24451,0.036201,0.039532,3.0,0.0
5,65860.0,5.0,3.0,12.475,8.2924,12.899,11.107,7.6773,9.003,0.10964,0.09135,0.039615,0.065113,3.0,0.0
6,65860.0,7.0,3.0,11.107,7.6776,9.002,12.671,8.2337,7.877,0.080981,0.076306,0.06512,0.078459,3.0,0.0
7,65860.0,9.0,3.0,11.483,7.6895,9.8459,11.668,7.4225,9.8354,0.0092472,0.00099529,0.059277,0.067815,3.0,1.0
8,67990.0,1.0,3.0,-5.3236,12.083,12.21,-6.0924,13.263,12.951,0.47708,0.4749,0.040234,0.046435,17.0,0.0
9,79316.0,1.0,3.0,-7.8396,10.461,-11.574,-9.2484,9.5448,-15.849,0.3562,0.35183,0.040942,0.059907,16.0,0.0
10,79316.0,3.0,3.0,-9.2493,9.5449,-15.864,-8.4095,9.8255,-16.5,0.234,0.23306,0.059995,0.064993,16.0,0.0
11,79316.0,5.0,3.0,-8.6835,9.9123,-14.135,-8.6834,9.9133,-14.135,0.001047,0.00097069,0.052302,0.052358,16.0,1.0
12,81615.0,1.0,3.0,-13.672,-1.7698,-16.5,-14.744,-3.3845,-14.374,0.43924,0.43601,0.031496,0.042877,13.0,0.0
13,90200.0,1.0,3.0,-11.083,6.4664,-11.093,-13.144,7.912,-8.4116,0.43424,0.43057,0.03101,0.045594,15.0,0.0
