,NPS,End_event_no,Particle_type,Start_x,Start_y,Start_z,End_x,End_y,End_z,Start_E,End_E,Start_T,End_T,Delta_ray_flag
0,1415.0,1.0,3.0,-1.2047,0.4021,-0.31199,0.074721,1.2678,0.54763,0.43872,0.43679,0.0019814,0.0089772,0.0
1,1415.0,3.0,3.0,-1.2047,0.40186,-0.31212,-0.086351,-1.2671,0.10779,0.032652,0.014029,0.0019817,0.02787,0.0
2,1415.0,5.0,3.0,-0.086375,-1.2671,0.10783,-0.14953,-1.2612,0.28834,0.01176,0.0096103,0.02787,0.031056,0.0
3,1415.0,7.0,3.0,-0.14953,-1.2612,0.28834,-0.2101,-1.2525,0.23901,0.0095004,0.0087681,0.031056,0.032474,0.0
4,1415.0,9.0,3.0,-0.039741,-0.63294,-0.15289,-0.039741,-0.63294,-0.15289,0.0010506,0.00099442,0.018949,0.018949,1.0
5,1524.0,1.0,3.0,-1.2665,-0.094674,0.18189,0.79251,0.99239,-3.7356,0.20745,0.19638,0.00093101,0.022556,0.0
6,1747.0,1.0,3.0,-1.2449,0.25114,0.14449,0.20891,1.2527,2.7596,0.41662,0.4142,0.0011205,0.013731,0.0
7,2000.0,1.0,3.0,-0.37981,1.2119,0.52817,0.90632,0.88966,-0.46369,0.24886,0.24716,0.0056143,0.013077,0.0
8,2000.0,3.0,3.0,0.9129,0.8829,-0.4646,0.13673,-1.2626,0.088743,0.13643,0.13169,0.013149,0.025903,0.0
9,2609.0,1.0,3.0,-0.76558,1.0133,-9.933,-0.8365,-0.9556,-8.2084,0.49295,0.49061,0.03377,0.043916,0.0
10,2609.0,3.0,3.0,-0.82207,-0.55491,-8.5594,-0.78714,-0.56582,-8.5687,0.0029201,0.00081494,0.041851,0.043267,1.0
11,2862.0,1.0,3.0,-1.2345,0.29807,-0.29022,1.0643,-0.693,-2.2483,0.15209,0.14384,0.0015482,0.018183,0.0
12,2893.0,1.0,3.0,-1.2018,-0.41051,-3.2564,-0.094467,1.2665,-4.1007,0.045663,0.035016,0.011425,0.031668,0.0
13,3085.0,1.0,3.0,-1.2516,0.21522,0.046396,1.2497,0.22642,-0.017165,0.66973,0.66676,0.00090019,0.010158,0.0
14,3094.0,1.0,3.0,0.54465,1.1473,1.9515,-1.2673,-0.083244,1.874,0.040134,0.028244,0.01028,0.032197,0.0
15,3349.0,1.0,3.0,-1.2685,0.061987,0.065302,1.1627,0.51089,-1.1799,0.39967,0.39699,0.00055712,0.011713,0.0
16,3349.0,3.0,3.0,1.1506,0.53769,-1.2049,-1.1942,-0.43229,-1.3298,0.091059,0.086479,0.011935,0.028042,0.0
17,3349.0,5.0,3.0,-0.29953,-0.029653,-1.2773,-0.30069,-0.028173,-1.2802,0.0014907,0.00097562,0.021776,0.021943,1.0
18,3405.0,1.0,3.0,-1.2684,0.064229,-0.18844,1.2645,-0.11793,-0.94237,0.28949,0.28275,0.0011377,0.012617,0.0
19,3515.0,1.0,3.0,-1.2526,0.20957,5.4403,0.55154,1.144,5.9197,0.6222,0.62038,0.018219,0.02602,0.0
20,3621.0,1.0,3.0,-1.27,-0.0069516,0.071892,1.27,-0.010436,3.0335,0.61954,0.6168,0.00051379,0.015104,0.0
21,3621.0,3.0,3.0,0.08794,-0.0088146,1.6553,0.088809,-0.011709,1.6547,0.0012533,0.00096599,0.0083139,0.0084672,1.0
22,3880.0,1.0,3.0,-1.27,0.0099482,-0.011097,1.1451,-0.54913,0.72934,0.6184,0.61628,0.00044259,0.01012,0.0
23,4560.0,1.0,3.0,-1.2526,0.20951,-0.70609,0.64531,-1.0938,-2.0985,0.33622,0.33379,0.0025111,0.013763,0.0
24,4560.0,3.0,3.0,0.66016,-1.0849,-2.1095,-1.2579,-0.1746,1.7221,0.20258,0.19671,0.013871,0.034805,0.0
25,4881.0,1.0,3.0,-1.2683,-0.064814,-0.91431,0.25962,1.2432,-1.768,0.23819,0.23558,0.0032586,0.013225,0.0
26,4900.0,1.0,3.0,-1.0405,0.72817,2.4439,0.8934,0.90263,3.045,0.53553,0.53356,0.0086569,0.016426,0.0
